state,date,abs,rate,lat,long
Johor,1/1/2000,13,19.4,1.466,103.75
Johor,1/1/2001,9,14.7,1.466,103.75
Johor,1/1/2002,12,20.1,1.466,103.75
Johor,1/1/2003,11,18.9,1.466,103.75
Johor,1/1/2004,14,24.4,1.466,103.75
Johor,1/1/2005,10,17.7,1.466,103.75
Johor,1/1/2006,19,33.5,1.466,103.75
Johor,1/1/2007,29,50.2,1.466,103.75
Johor,1/1/2008,10,17.3,1.466,103.75
Johor,1/1/2009,19,32.8,1.466,103.75
Johor,1/1/2010,12,21.4,1.466,103.75
Johor,1/1/2011,17,29.2,1.466,103.75
Johor,1/1/2012,16,26.5,1.466,103.75
Johor,1/1/2013,12,20.9,1.466,103.75
Johor,1/1/2014,16,26.5,1.466,103.75
Johor,1/1/2015,14,23.1,1.466,103.75
Johor,1/1/2016,16,26.9,1.466,103.75
Johor,1/1/2017,15,24.6,1.466,103.75
Johor,1/1/2018,17,27.8,1.466,103.75
Johor,1/1/2019,12,19.9,1.466,103.75
Johor,1/1/2020,11,19.3,1.466,103.75
Johor,1/1/2021,32,64,1.466,103.75
Johor,1/1/2022,11,22.8,1.466,103.75
Kedah,1/1/2000,10,24.4,6.116,100.366
Kedah,1/1/2001,13,34.1,6.116,100.366
Kedah,1/1/2002,13,35.5,6.116,100.366
Kedah,1/1/2003,8,22.6,6.116,100.366
Kedah,1/1/2004,16,45.6,6.116,100.366
Kedah,1/1/2005,12,35,6.116,100.366
Kedah,1/1/2006,5,14.8,6.116,100.366
Kedah,1/1/2007,11,32.4,6.116,100.366
Kedah,1/1/2008,13,36.7,6.116,100.366
Kedah,1/1/2009,10,27.8,6.116,100.366
Kedah,1/1/2010,15,42.7,6.116,100.366
Kedah,1/1/2011,9,25,6.116,100.366
Kedah,1/1/2012,7,19.2,6.116,100.366
Kedah,1/1/2013,4,11.4,6.116,100.366
Kedah,1/1/2014,10,27.4,6.116,100.366
Kedah,1/1/2015,13,35.3,6.116,100.366
Kedah,1/1/2016,5,13.9,6.116,100.366
Kedah,1/1/2017,10,27.3,6.116,100.366
Kedah,1/1/2018,9,25.3,6.116,100.366
Kedah,1/1/2019,6,17.4,6.116,100.366
Kedah,1/1/2020,1,3,6.116,100.366
Kedah,1/1/2021,27,81.7,6.116,100.366
Kedah,1/1/2022,11,35.7,6.116,100.366
Kelantan,1/1/2000,9,22.3,6.133,102.25
Kelantan,1/1/2001,8,21,6.133,102.25
Kelantan,1/1/2002,12,32.2,6.133,102.25
Kelantan,1/1/2003,12,33.6,6.133,102.25
Kelantan,1/1/2004,15,42.7,6.133,102.25
Kelantan,1/1/2005,11,32.3,6.133,102.25
Kelantan,1/1/2006,10,29.7,6.133,102.25
Kelantan,1/1/2007,9,26.6,6.133,102.25
Kelantan,1/1/2008,12,34.4,6.133,102.25
Kelantan,1/1/2009,16,44.8,6.133,102.25
Kelantan,1/1/2010,16,44.4,6.133,102.25
Kelantan,1/1/2011,12,31.8,6.133,102.25
Kelantan,1/1/2012,5,13.5,6.133,102.25
